pos,length,value
NOUN,1,8882.12813370473
NOUN,2,8105.86201834862
NOUN,3,7672.59370837577
NOUN,4,7825.51551655864
NOUN,5,8082.21840480491
NOUN,6,8080.35633540136
NOUN,7,7648.4871908913
NOUN,8,7655.57659688674
NOUN,9,7449.21291053228
NOUN,10,7261.52115480338
NOUN,11,7067.8244737781
NOUN,12,6828.65093085106
NOUN,13,6542.04
NOUN,14,6573.94550063371
NOUN,15,6304.30240549828
NOUN,16,6228.82598039216
NOUN,17,6227.00911854103
NOUN,18,6116.61678832117
NOUN,19,6194.57062146893
NOUN,20,6172.064
NOUN,21,5902.47899159664
NOUN,22,6261.43333333333
NOUN,23,6025.80952380952
NOUN,24,6067.5
NOUN,25,5766.10714285714
NOUN,26,5509.90909090909
NOUN,27,5545.29166666667
NOUN,28,6237.45454545455
NOUN,29,5368.71428571429
NOUN,30,5122
NOUN,31,5107
NOUN,32,5122
NOUN,33,5122
NOUN,34,6849
NOUN,35,5122
NOUN,36,4437.5
NOUN,37,5122
NOUN,38,5122
NOUN,39,5122
VERB,1,7455.81538461538
VERB,2,7675.95466254508
VERB,3,7450.45579007416
VERB,4,7695.53680318147
VERB,5,7819.72484752055
VERB,6,8004.29989170457
VERB,7,8128.7823770685
VERB,8,8266.206395503
VERB,9,8359.17914596143
VERB,10,8600.66114260794
VERB,11,8638.86835016835
VERB,12,8863.75557103064
VERB,13,8900.65538461538
VERB,14,9051.17557251908
VERB,15,9008.4
VERB,16,9279
VERB,17,9279
VERB,19,9279
ADJ,1,5094
ADJ,2,4928.96951219512
ADJ,3,5079.99235181644
ADJ,4,5319.30816213215
ADJ,5,5235.08852105074
ADJ,6,5543.57167042889
ADJ,7,5573.36629938189
ADJ,8,5816.5627672956
ADJ,9,5928.75070643642
ADJ,10,6153.25590694293
ADJ,11,6337.40331164991
ADJ,12,6380.31442463533
ADJ,13,6671.21635434412
ADJ,14,6556.45906432749
ADJ,15,6851.43
ADJ,16,6351.859375
ADJ,17,6956
ADJ,18,6671.6875
ADJ,19,6956
ADJ,20,6956
ADJ,21,6956
ADJ,22,6956
ADV,1,6059.28571428571
ADV,2,5039.69841269841
ADV,3,4828.84186046512
ADV,4,5099.92361111111
ADV,5,5201.52882205514
ADV,6,5181.07220216606
ADV,7,5423.07111111111
ADV,8,5479.41576086957
ADV,9,5673.66
ADV,10,5639.11881188119
ADV,11,5774.51282051282
ADV,12,5457.61111111111
ADV,13,5230.25
ADV,14,5345.33333333333
ADV,16,2359
ADV,19,3205
